c,a,d,C-IonicRadius,C-ElectroNegativity,A-IonicRadius,A-ElectroNegativity,D-IonicRadius,D-ElectroNegativity,FormEnergyPerAtom
Ca2+,Lu3+,Ge4+,1.14,1.0,1.001,1.27,0.67,2.01,-0.1839857095624989
Ba2+,Yb3+,Ge4+,1.49,0.89,1.008,1.1,0.67,2.01,-0.3440689425000002
Mg2+,Ga3+,Si4+,0.86,1.31,0.76,1.81,0.54,1.9,0.016982429124999497
Tb3+,Yb3+,Ga3+,1.063,1.1,1.008,1.1,0.76,1.81,-0.13364888603125066
Zn2+,Ga3+,Ti4+,0.88,1.65,0.76,1.81,0.745,1.54,0.17092722975000002
Eu3+,Al3+,Al3+,1.087,1.2,0.675,1.61,0.675,1.61,-0.01694090207812522
Pr3+,Yb3+,Al3+,1.13,1.13,1.008,1.1,0.675,1.61,-0.15604650550000088
Gd3+,In3+,Al3+,1.075,1.2,0.94,1.78,0.675,1.61,-0.02452237859375117
Ho3+,Lu3+,Ga3+,1.041,1.23,1.001,1.27,0.76,1.81,-0.022580685250000343
Lu3+,In3+,Ga3+,1.001,1.27,0.94,1.78,0.76,1.81,0.005728620218749825
Bi3+,Yb3+,Ga3+,1.17,2.02,1.008,1.1,0.76,1.81,-0.11877207393750026
Na1+,Lu3+,P5+,1.16,0.93,1.001,1.27,0.52,2.19,-0.4765717028124996
Ho3+,Yb3+,Al3+,1.041,1.23,1.008,1.1,0.675,1.61,-0.10151573143750099
