c,a,d,C-IonicRadius,C-ElectroNegativity,A-IonicRadius,A-ElectroNegativity,D-IonicRadius,D-ElectroNegativity,FormEnergyPerAtom
Tm3+,Ho3+,Al3+,1.02,1.25,1.041,1.23,0.675,1.61,0.03202032496874878
Cd2+,In3+,Ti4+,1.09,1.69,0.94,1.78,0.745,1.54,0.00981580231250021
Eu3+,Dy3+,Ga3+,1.087,1.2,1.052,1.22,0.76,1.81,-0.012997485328124725
Eu3+,Y3+,Ga3+,1.087,1.2,1.04,1.22,0.76,1.81,-0.012623900453125714
Mg2+,Ho3+,Si4+,0.86,1.31,1.041,1.23,0.54,1.9,0.0945048153750001
Mg2+,Rh3+,Ti4+,0.86,1.31,0.805,2.28,0.745,1.54,0.08809206212500129
Eu3+,Y3+,Al3+,1.087,1.2,1.04,1.22,0.675,1.61,0.004597263046874645
La3+,Rh3+,Al3+,1.172,1.1,0.805,2.28,0.675,1.61,-0.019844716749999946
Tm3+,Sc3+,Ga3+,1.02,1.25,0.885,1.36,0.76,1.81,-0.029204690593750728
Ba2+,Er3+,Ti4+,1.49,0.89,1.03,1.24,0.745,1.54,-0.2193509923124985
Sr2+,In3+,Si4+,1.32,0.95,0.94,1.78,0.54,1.9,-0.14982791218750008
Mg2+,In3+,Si4+,0.86,1.31,0.94,1.78,0.54,1.9,0.06849839431250046
Pr3+,Sc3+,Al3+,1.13,1.13,0.885,1.36,0.675,1.61,-0.06905266918750108
Sr2+,Ho3+,Sn4+,1.32,0.95,1.041,1.23,0.83,1.96,-0.06974658725000075
Er3+,Cr3+,Al3+,1.03,1.24,0.755,1.66,0.675,1.61,-0.05099795621875032
Sr2+,Rh3+,Si4+,1.32,0.95,0.805,2.28,0.54,1.9,-0.11024476700000108
Dy3+,In3+,Ga3+,1.052,1.22,0.94,1.78,0.76,1.81,-0.03558202531249961
Pr3+,In3+,Al3+,1.13,1.13,0.94,1.78,0.675,1.61,-0.05029247156250136
Ca2+,Cr3+,Ti4+,1.14,1.0,0.755,1.66,0.745,1.54,-0.1360178627499991
Dy3+,In3+,Al3+,1.052,1.22,0.94,1.78,0.675,1.61,-0.018315858937499742
Ho3+,Er3+,Ga3+,1.041,1.23,1.03,1.24,0.76,1.81,-0.005668796625000283
Mg2+,Y3+,Ge4+,0.86,1.31,1.04,1.22,0.67,2.01,0.06661577987500067
Ca2+,Cr3+,Si4+,1.14,1.0,0.755,1.66,0.54,1.9,-0.14310114524999945
Sm3+,Ho3+,Ga3+,1.0979999999999999,1.17,1.041,1.23,0.76,1.81,-0.04732959559375018
Ba2+,In3+,Sn4+,1.49,0.89,0.94,1.78,0.83,1.96,-0.05989926431249977
Zn2+,Y3+,Sn4+,0.88,1.65,1.04,1.22,0.83,1.96,0.3493843746250004
Dy3+,Er3+,Al3+,1.052,1.22,1.03,1.24,0.675,1.61,-0.0017784991874997048
Na1+,Y3+,As5+,1.16,0.93,1.04,1.22,0.6,2.18,-0.3727082351875005
Zn2+,Ga3+,Si4+,0.88,1.65,0.76,1.81,0.54,1.9,0.10577325287500017
Ba2+,Tm3+,Sn4+,1.49,0.89,1.02,1.25,0.83,1.96,-0.09136345206249992
Na1+,Er3+,P5+,1.16,0.93,1.03,1.24,0.52,2.19,-0.4749942963124994
La3+,Er3+,Ga3+,1.172,1.1,1.03,1.24,0.76,1.81,-0.06948727456250055
Ba2+,Ho3+,Si4+,1.49,0.89,1.041,1.23,0.54,1.9,-0.15742286162499966
Sr2+,Al3+,Si4+,1.32,0.95,0.675,1.61,0.54,1.9,-0.10105994075000027
Zn2+,Sc3+,Ge4+,0.88,1.65,0.885,1.36,0.67,2.01,0.0885232118125007
Cd2+,In3+,Ge4+,1.09,1.69,0.94,1.78,0.67,2.01,-0.07181761431249996
Na1+,Rh3+,P5+,1.16,0.93,0.805,2.28,0.52,2.19,-0.36331594749999996
Ho3+,Ho3+,Ga3+,1.041,1.23,1.041,1.23,0.76,1.81,0.000278228937499847
Gd3+,Dy3+,Al3+,1.075,1.2,1.052,1.22,0.675,1.61,-0.003467381656250268
Zn2+,Ho3+,Sn4+,0.88,1.65,1.041,1.23,0.83,1.96,0.34493489387500026
Ba2+,Tm3+,Ti4+,1.49,0.89,1.02,1.25,0.745,1.54,-0.21822763081249974
Na1+,Cr3+,As5+,1.16,0.93,0.755,1.66,0.6,2.18,-0.3273286289375001
Cd2+,Er3+,Ge4+,1.09,1.69,1.03,1.24,0.67,2.01,-0.0679706679375002
Sm3+,Rh3+,Ga3+,1.0979999999999999,1.17,0.805,2.28,0.76,1.81,-0.054700031593749546
Mg2+,Dy3+,Ge4+,0.86,1.31,1.052,1.22,0.67,2.01,0.06610419537500078
Ba2+,Sc3+,Si4+,1.49,0.89,0.885,1.36,0.54,1.9,-0.12082889793749914
Nd3+,In3+,Ga3+,1.123,1.14,0.94,1.78,0.76,1.81,-0.07295140250000003
Cd2+,Y3+,Si4+,1.09,1.69,1.04,1.22,0.54,1.9,-0.008240524000000703
Cd2+,Cr3+,Sn4+,1.09,1.69,0.755,1.66,0.83,1.96,0.10317405150000063
Mg2+,Al3+,Si4+,0.86,1.31,0.675,1.61,0.54,1.9,-0.019719765624999042
Cd2+,Dy3+,Si4+,1.09,1.69,1.052,1.22,0.54,1.9,-0.008961495375000083
Sr2+,Ga3+,Si4+,1.32,0.95,0.76,1.81,0.54,1.9,-0.10643859862500023
Sr2+,Rh3+,Sn4+,1.32,0.95,0.805,2.28,0.83,1.96,-0.006735335875000104
Cd2+,Tm3+,Ge4+,1.09,1.69,1.02,1.25,0.67,2.01,-0.07211381443749972
Er3+,Er3+,Ga3+,1.03,1.24,1.03,1.24,0.76,1.81,0.0033658743437499083
Ca2+,Dy3+,Si4+,1.14,1.0,1.052,1.22,0.54,1.9,-0.12055368562500064
Sr2+,Ho3+,Ti4+,1.32,0.95,1.041,1.23,0.745,1.54,-0.20366736050000042
Cd2+,Y3+,Ge4+,1.09,1.69,1.04,1.22,0.67,2.01,-0.060507649250000385
Ca2+,Dy3+,Ge4+,1.14,1.0,1.052,1.22,0.67,2.01,-0.16668045337500031
Bi3+,Rh3+,Ga3+,1.17,2.02,0.805,2.28,0.76,1.81,-0.006582684687499807
Sm3+,Er3+,Ga3+,1.0979999999999999,1.17,1.03,1.24,0.76,1.81,-0.051896732156249924
Ho3+,In3+,Ga3+,1.041,1.23,0.94,1.78,0.76,1.81,-0.027782465500000342
Er3+,Ho3+,Ga3+,1.03,1.24,1.041,1.23,0.76,1.81,0.009674446781249912
Tm3+,Al3+,Ga3+,1.02,1.25,0.675,1.61,0.76,1.81,-0.048684837281250636
Ca2+,Ho3+,Si4+,1.14,1.0,1.041,1.23,0.54,1.9,-0.12500132375000064
