4.9420192731265944E-01 a         1     0     1     1     1
-3.2540166569492812E-01 a         2     0     1     1     2
9.2141524751216300E-02 a         3     0     1     1     3
-3.1381557768273233E-01 a         4     0     1     1     4
6.9737743824401954E-01 a         5     0     1     1     5
7.2445304227230256E-01 a         6     0     1     1     6
-3.1863000389949003E-01 a         7     0     1     1     7
1.4300138003659799E-01 a         8     0     1     1     8
1.0683823228854028E-01 a         9     0     1     1     9
-3.2056187916024453E-01 a        10     0     1     1    10
-7.5987812237206492E-02 a        11     0     1     1    11
2.8967558746094679E-01 a        12     0     1     1    12
3.8758101704672177E-01 a        13     0     1     1    13
-1.5351978017779772E-01 a        14     0     1     1    14
-1.2885148604993121E-02 a        15     0     1     1    15
-5.7424532796971441E-02 a        16     0     1     1    16
-2.1697908645343883E-01 a        17     0     2     1     1
2.4071321829169454E-01 a        18     0     2     1     2
-2.8128280406594597E-01 a        19     0     2     1     3
1.7672268483303993E-01 a        20     0     2     1     4
2.3293502229918911E-01 a        21     0     2     1     5
1.3819103091073595E-01 a        22     0     2     1     6
-3.7080811035627759E-01 a        23     0     2     1     7
1.4796243785657538E-02 a        24     0     2     1     8
-3.2682111928884761E-02 a        25     0     2     1     9
-6.4098018688644259E-02 a        26     0     2     1    10
1.4895591815277118E-01 a        27     0     2     1    11
-2.1758498529558953E-01 a        28     0     2     1    12
2.5829976085144718E-01 a        29     0     2     1    13
1.4616915553501686E-01 a        30     0     2     1    14
2.2267162103652954E-01 a        31     0     2     1    15
-1.4478286409908189E-01 a        32     0     2     1    16
-1.2974986715068484E-02 a        33     0     3     1     1
-1.8969601393173241E-01 a        34     0     3     1     2
9.4555760151425229E-03 a        35     0     3     1     3
-3.3046597043562442E-01 a        36     0     3     1     4
-3.2544344055466423E-01 a        37     0     3     1     5
-2.5544212239758157E-01 a        38     0     3     1     6
-2.2601409479910493E-02 a        39     0     3     1     7
1.3053979700254773E-01 a        40     0     3     1     8
-1.0898005079657187E-01 a        41     0     3     1     9
2.6172605432809298E-01 a        42     0     3     1    10
-1.2143739576415599E-01 a        43     0     3     1    11
1.0391898771453834E-01 a        44     0     3     1    12
1.5104709792528956E-01 a        45     0     3     1    13
2.5924680156731428E-01 a        46     0     3     1    14
1.7268587863543253E-01 a        47     0     3     1    15
7.9953985392717961E-02 a        48     0     3     1    16
-2.2993845012897443E-01 a        49     0     4     1     1
-2.7816115522462403E-01 a        50     0     4     1     2
1.5520827080030886E-01 a        51     0     4     1     3
1.7877343413230388E-02 a        52     0     4     1     4
-5.1157104402582955E-02 a        53     0     4     1     5
-5.5596518889739106E-02 a        54     0     4     1     6
-1.6056245250730788E-01 a        55     0     4     1     7
3.5743020909681450E-01 a        56     0     4     1     8
1.5071406562306039E-01 a        57     0     4     1     9
-8.3569897973059123E-02 a        58     0     4     1    10
2.7580133335653914E-02 a        59     0     4     1    11
2.1850372058608294E-01 a        60     0     4     1    12
-2.6524565183523402E-01 a        61     0     4     1    13
7.6384894335092074E-02 a        62     0     4     1    14
3.6661544721684153E-01 a        63     0     4     1    15
-1.3633930250730913E-01 a        64     0     4     1    16
-2.9831956241894098E-01 a        65     0     5     1     1
1.6304229454183847E-01 a        66     0     5     1     2
8.2677982430783697E-02 a        67     0     5     1     3
2.8513881318565754E-01 a        68     0     5     1     4
-4.4548548372039021E-01 a        69     0     5     1     5
-7.6886140585592289E-02 a        70     0     5     1     6
9.2156712682097547E-02 a        71     0     5     1     7
3.9456660993023251E-02 a        72     0     5     1     8
1.0274419838800246E-01 a        73     0     5     1     9
-2.7947562749028665E-01 a        74     0     5     1    10
-1.2280777850187234E-01 a        75     0     5     1    11
-1.5011880303805492E-01 a        76     0     5     1    12
-2.0675114034517550E-01 a        77     0     5     1    13
-3.3047251727193205E-01 a        78     0     5     1    14
5.9952364996260088E-01 a        79     0     5     1    15
-1.5610168283732828E-01 a        80     0     5     1    16
4.7073742443377509E-01 a        81     0     6     1     1
-2.5335185696589307E-01 a        82     0     6     1     2
-1.3400677725484483E-01 a        83     0     6     1     3
-6.0585820324500006E-01 a        84     0     6     1     4
4.9659234994312307E-01 a        85     0     6     1     5
7.4336920150504948E-01 a        86     0     6     1     6
-7.0507130002869248E-02 a        87     0     6     1     7
6.1523895593228572E-01 a        88     0     6     1     8
8.5997601649306132E-01 a        89     0     6     1     9
-2.4007457407248053E-01 a        90     0     6     1    10
2.8401534640088549E-01 a        91     0     6     1    11
-1.0266028606308261E-01 a        92     0     6     1    12
4.2274467801075577E-01 a        93     0     6     1    13
1.1831979908536341E-01 a        94     0     6     1    14
9.6462122698006164E-02 a        95     0     6     1    15
-5.6218995062257478E-02 a        96     0     6     1    16
5.4906622945382777E-01 a        97     0     7     1     1
1.8699671251581726E-01 a        98     0     7     1     2
-3.7214478004143126E-02 a        99     0     7     1     3
-1.2321096709501368E-01 a       100     0     7     1     4
1.1173010938969803E-01 a       101     0     7     1     5
-7.1242350921553912E-02 a       102     0     7     1     6
-9.1412910631937808E-02 a       103     0     7     1     7
-1.3109311594912948E-01 a       104     0     7     1     8
3.1716767067521495E-01 a       105     0     7     1     9
-1.3801964424367325E-01 a       106     0     7     1    10
3.1635238544851652E-01 a       107     0     7     1    11
-5.4845201341678647E-02 a       108     0     7     1    12
1.6130819933827642E-01 a       109     0     7     1    13
8.3513467329973945E-02 a       110     0     7     1    14
-2.9435537692716174E-01 a       111     0     7     1    15
6.1474751947754140E-04 a       112     0     7     1    16
-2.5232071363366460E-01 a       113     0     8     1     1
1.6291903781931952E-01 a       114     0     8     1     2
-6.2778870731614678E-01 a       115     0     8     1     3
-1.4912818244823053E-01 a       116     0     8     1     4
-2.5573058484208222E-01 a       117     0     8     1     5
-4.4454311018835385E-01 a       118     0     8     1     6
5.5296251296147535E-02 a       119     0     8     1     7
-3.5233955499494668E-01 a       120     0     8     1     8
-2.4373602951767448E-01 a       121     0     8     1     9
4.0779048696085583E-02 a       122     0     8     1    10
-1.8965145820605619E-01 a       123     0     8     1    11
1.6895093133659297E-01 a       124     0     8     1    12
1.2255997035992806E-01 a       125     0     8     1    13
-1.9745975394967008E-01 a       126     0     8     1    14
-1.9841733367756516E-02 a       127     0     8     1    15
2.8577981034540480E-02 a       128     0     8     1    16
-4.0126493536929808E-01 a       129     0     9     1     1
1.8310455789715852E-01 a       130     0     9     1     2
-2.3149980261754272E-01 a       131     0     9     1     3
-8.8522890501924148E-02 a       132     0     9     1     4
-2.8028209079956290E-01 a       133     0     9     1     5
-5.9766851281582400E-01 a       134     0     9     1     6
-1.1204317104475439E-01 a       135     0     9     1     7
-3.0686710568396919E-01 a       136     0     9     1     8
-6.3471831819059166E-01 a       137     0     9     1     9
-1.9629448613170111E-01 a       138     0     9     1    10
-1.6135382209692842E-01 a       139     0     9     1    11
3.3498617733877489E-01 a       140     0     9     1    12
-2.5557654735406188E-01 a       141     0     9     1    13
-4.0439997762954683E-01 a       142     0     9     1    14
1.7948118449903694E-01 a       143     0     9     1    15
-3.1879550427126252E-01 a       144     0     9     1    16
-2.4690011547237781E-01 a       145     0    10     1     1
5.5122924188055970E-02 a       146     0    10     1     2
-1.4304381840668617E-01 a       147     0    10     1     3
8.8327411627063965E-02 a       148     0    10     1     4
-1.0924589487318954E+00 a       149     0    10     1     5
-3.3022279215965883E-01 a       150     0    10     1     6
-1.9826328873899537E-01 a       151     0    10     1     7
