Absorption (K-edge) for Fe2O3 (mp-24972)
Averaged spectra are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra
Avg Fe		Avg O		Site 0 (Fe), multiplicity 4		Site 4 (O), multiplicity 6	
E (eV)	mu	E (eV)	mu	E (ev)	mu	E (ev)	mu
7114.019	0.0263995	530.894	0.0179151	7114.019	0.0263995	530.894	0.0179151
7114.296201005025	0.02839960506192803	531.1712010050252	0.020367081169951073	7114.483	0.029978	531.357	0.0223649
7114.573402010051	0.030836610552512404	531.4484020100502	0.023492287210995003	7114.897	0.0345792	531.772	0.028481
7114.850603015076	0.03396879849282361	531.7256030150754	0.02765663770752134	7115.263	0.0406266	532.138	0.0370713
7115.1278040201005	0.03809354416831923	532.0028040201005	0.03335372513945029	7115.58	0.0486177	532.455	0.0494799
7115.405005025126	0.04378379776570508	532.2800050251257	0.04191826728688839	7115.848	0.0588772	532.723	0.0682401
7115.682206030151	0.05205320283656874	532.5572060301507	0.054996851907401584	7116.067	0.0709893	532.942	0.0992944
7115.959407035176	0.06453002976580915	532.8344070351759	0.08191322127478574	7116.238	0.0833162	533.113	0.160875
7116.236608040202	0.08320830687698053	533.111608040201	0.15992442139312876	7116.258	0.084882	533.132	0.17409
7116.5138090452265	0.10749963401909378	533.3888090452261	0.8198300292581915	7116.358	0.0933713	533.232	0.308082
7116.791010050251	0.1298985054028211	533.6660100502513	0.4171666833325467	7116.458	0.102485	533.332	0.7209
7117.068211055276	0.1435050664773752	533.9432110552764	1.8417836181495197	7116.558	0.111395	533.432	0.777056
7117.345412060302	0.146966777512714	534.2204120603016	4.526693549352652	7116.658	0.119907	533.532	0.458649
7117.622613065327	0.14196693609242061	534.4976130653266	4.493617754983724	7116.758	0.127596	533.632	0.395409
7117.899814070352	0.13162493837208736	534.7748140703518	4.350808103982662	7116.858	0.134164	533.732	0.498585
7118.177015075377	0.12184176783268688	535.0520150753769	3.336290894102349	7116.951	0.139086	533.826	0.803517
7118.454216080402	0.1158247325930593	535.329216080402	1.7378121032638767	7117.067	0.143469	533.942	1.82773
7118.731417085427	0.11120921560487941	535.6064170854271	0.6934566056414943	7117.195	0.146249	534.07	3.41149
7119.008618090453	0.1073104251419542	535.8836180904523	0.21013116598745082	7117.335	0.147	534.21	4.4989
7119.285819095478	0.10586369827833783	536.1608190954773	0.1585067711067761	7117.488	0.145345	534.363	4.45153
7119.563020100502	0.10765860582993156	536.4380201005025	0.14736082249553392	7117.652	0.141035	534.527	4.5159
7119.840221105528	0.11235459998378747	536.7152211055277	0.1710710896779611	7117.829	0.134471	534.704	4.46904
7120.117422110553	0.1195913873128959	536.9924221105528	0.21911647341322682	7118.018	0.127033	534.893	4.02367
7120.394623115578	0.12934334540929	537.2696231155779	0.28906572611426057	7118.219	0.120705	535.094	3.10907
7120.671824120604	0.14172443632539905	537.546824120603	0.3838564969239309	7118.433	0.116201	535.308	1.8471
7120.949025125628	0.1569028295719357	537.8240251256282	0.5139136280325965	7118.658	0.11241	535.533	0.922141
7121.226226130653	0.1750176624826762	538.1012261306532	0.6909458882849076	7118.896	0.1087	535.771	0.319633
7121.503427135679	0.1953816740902954	538.3784271356784	0.9052856021272847	7119.146	0.106188	536.021	0.174272
7121.780628140704	0.21593550316010357	538.6556281407035	1.2367858910951777	7119.408	0.106267	536.283	0.149154
7122.057829145729	0.23413026824499306	538.9328291457286	1.5199481116903624	7119.682	0.109346	536.557	0.153639
7122.3350301507535	0.2486626728752862	539.2100301507538	1.5557979759000358	7119.969	0.115413	536.844	0.19112
7122.612231155779	0.261078093199839	539.4872311557789	1.3470470727853467	7120.268	0.124566	537.142	0.253631
7122.889432160804	0.2768099913469796	539.7644321608041	1.0327625752314102	7120.578	0.137236	537.453	0.349126
7123.166633165829	0.3022295476366852	540.0416331658291	0.7487839307308306	7120.902	0.154116	537.776	0.48752
7123.443834170855	0.33930738712233255	540.3188341708543	0.6794505283186059	7121.237	0.175776	538.112	0.698308
7123.7210351758795	0.38094929126374255	540.5960351758794	1.0664667142702966	7121.584	0.201446	538.459	0.988531
7123.998236180904	0.4161230659029185	540.8732361809045	1.6150708575884136	7121.944	0.227099	538.819	1.42906
7124.27543718593	0.4382389270871112	541.1504371859296	1.9237299229482068	7122.316	0.247775	539.191	1.56211
7124.552638190955	0.4517010270270294	541.4276381909548	1.9074288713959675	7122.7	0.265403	539.575	1.25155
7124.82983919598	0.4624497232886821	541.70483919598	1.844178506301332	7123.096	0.294497	539.971	0.811429
7125.1070402010055	0.4756897979841124	541.982040201005	2.0046061262150165	7123.505	0.348424	540.379	0.722749
7125.38424120603	0.4938552584363849	542.2592412060302	2.0683343505552063	7123.925	0.408127	540.8	1.4847
7125.661442211055	0.5195233361545728	542.5364422110553	1.97234011044638	7124.358	0.442895	541.233	1.95049
7125.938643216081	0.5554436851856633	542.8136432160804	2.0543851853548905	7124.803	0.461358	541.678	1.8394
7126.215844221106	0.5993265668070117	543.0908442211055	2.4765681615572803	7125.26	0.484974	542.135	2.07492
7126.493045226131	0.6457332244611962	543.3680452261307	3.1775221440174115	7125.73	0.527413	542.604	1.96478
7126.770246231156	0.6871394658939213	543.6452462311557	3.6313411050697337	7126.211	0.598519	543.086	2.46592
7127.047447236181	0.7198221645170466	543.9224472361809	3.5344078478197556	7126.705	0.678249	543.58	3.57898
7127.324648241206	0.7487735118233928	544.1996482412061	3.249326369163406	7127.211	0.736958	544.086	3.36328
7127.601849246232	0.7809388373121265	544.4768492462312	2.9693864373413827	7127.729	0.798982	544.604	2.81002
