2.9312170801529042E-01 a         1     0     1     1     1
-1.6295004797833741E+00 a         2     0     1     1     2
-7.9416287477020775E-01 a         3     0     1     1     3
1.2040774587995298E+00 a         4     0     1     1     4
1.6686879744343828E-02 a         5     0     2     1     1
-2.7675354682615377E-02 a         6     0     2     1     2
1.7339450744156694E-02 a         7     0     2     1     3
-3.4844575849008727E-02 a         8     0     2     1     4
7.3553866054030262E-02 a         9     0     3     1     1
-2.1215940930982605E-01 a        10     0     3     1     2
-2.7054475756636576E-01 a        11     0     3     1     3
6.2897580752045801E-01 a        12     0     3     1     4
-4.4204345753739351E-03 a        13     0     4     1     1
-4.5022801175798467E-02 a        14     0     4     1     2
2.2465271109226689E-02 a        15     0     4     1     3
-1.7102790559626345E-02 a        16     0     4     1     4
1.8459986146055959E-01 a        17     0     5     1     1
-8.4763303865984033E-02 a        18     0     5     1     2
7.3723717107767894E-01 a        19     0     5     1     3
5.9133195426609837E-02 a        20     0     5     1     4
-9.5954706206872104E-02 a        21     0     6     1     1
4.4010114042157975E-02 a        22     0     6     1     2
-2.6827609068413194E-01 a        23     0     6     1     3
-5.1148342095427091E-01 a        24     0     6     1     4
-3.1430621044215429E-02 a        25     0     7     1     1
1.4180664078671806E-01 a        26     0     7     1     2
-2.6770551025072109E-01 a        27     0     7     1     3
-8.2498008369953121E-02 a        28     0     7     1     4
-1.3192095016527369E-01 a        29     0     8     1     1
1.4819498503389494E-01 a        30     0     8     1     2
-3.8917357841120981E-01 a        31     0     8     1     3
3.7467629307619749E-01 a        32     0     8     1     4
3.4801281895433796E-03 a        33     0     9     1     1
1.5445361800417626E-01 a        34     0     9     1     2
-2.1154513023333946E-01 a        35     0     9     1     3
5.6639102391259843E-01 a        36     0     9     1     4
4.4790076869400978E-03 a        37     0    10     1     1
-2.7894854766404326E-01 a        38     0    10     1     2
1.6332178966075606E-01 a        39     0    10     1     3
1.3782424972707691E-01 a        40     0    10     1     4
-1.8100522133965327E-01 a        41     0    11     1     1
9.1075026115933166E-01 a        42     0    11     1     2
6.1398141976571709E-02 a        43     0    11     1     3
-4.3703387752019351E-01 a        44     0    11     1     4
5.4729977552248066E-01 a        45     0    12     1     1
2.5377144362016002E-01 a        46     0    12     1     2
3.8848387835120801E-01 a        47     0    12     1     3
-5.1939628574588848E-01 a        48     0    12     1     4
-2.2579607822378060E-02 a        49     0    13     1     1
7.9609213182205943E-02 a        50     0    13     1     2
-6.2626674207904312E-02 a        51     0    13     1     3
1.0797820779238616E-01 a        52     0    13     1     4
-5.9559600359485244E-02 a        53     0    14     1     1
-4.5865082430198006E-01 a        54     0    14     1     2
-3.0374953294790052E-01 a        55     0    14     1     3
6.4279831967331089E-03 a        56     0    14     1     4
2.1297090842796032E-01 a        57     0    15     1     1
-1.6654447961731888E-02 a        58     0    15     1     2
-1.9004232701738130E-01 a        59     0    15     1     3
4.6110026961657713E-01 a        60     0    15     1     4
2.1438988724894734E-01 a        61     0    16     1     1
1.4012538048595416E-01 a        62     0    16     1     2
1.1545184892146391E-01 a        63     0    16     1     3
-2.0705911947874583E-01 a        64     0    16     1     4
