   1    1  3.2680782754752527E-05 1.1889212451646798E-04 6.3414351608668965E-05 1.2785830390442892E-05
   1    2  1.0957860096593370E-05 6.8774610191806116E-05 2.8967626776655458E-05 8.7116781396098353E-06
   1    3  9.1148694264960213E-20 1.8515570800811046E-16 4.1728542487823361E-18 8.4423780840899877E-18
   1    4  1.0767726161344994E-20 4.0362879045463615E-17 1.1646024034846945E-18 2.5612799079597927E-18
   1    5  3.8052270666078465E-16 1.8602005213112124E-14 2.4637972476220155E-15 1.6033782891751853E-15
   1    6  7.8410954590225248E-16 2.2629318128782600E-14 3.4114511901920888E-15 1.5492157304827260E-15
   1    7  5.1648876547065859E-23 4.3257379868068284E-19 1.5352648262406413E-20 2.9449551851596748E-20
   1    8  1.1438910109613098E-15 5.1729825824178142E-14 7.3846974221994033E-15 4.7115731444865158E-15
   1    9  2.3641966955079202E-15 6.3902713454129232E-14 1.0173025502790618E-14 4.5418571815420248E-15
   1   10  5.9057055220274536E-23 4.6238196114847886E-19 1.6503390594298182E-20 3.1850698160304198E-20
   1   11  6.0649694705671628E-18 3.9118700294078002E-16 3.9535426514642867E-17 2.7841550744561772E-17
   1   12  1.2487104561656876E-17 4.0953070090301435E-16 5.5231680418598444E-17 2.6640080180370548E-17
   1   13  5.2708884573908873E-24 5.2203100137559193E-20 1.7378761521837015E-21 3.3251471473744350E-21
   1   14  4.8616515889102837E-16 2.1454428236553379E-14 3.1217963985566191E-15 1.9760305076815309E-15
   1   15  1.0046533829303558E-15 2.5776905057680964E-14 4.2829747912696742E-15 1.8963478233730542E-15
   1   16  8.9981239674804308E-24 7.1265628498387837E-20 2.3169011806257929E-21 4.5398272122199372E-21
   1   17  1.8176866454008509E-59 6.8411890243242685E-52 1.5401947527212319E-54 2.3173061334364683E-53
   1   18  8.4835477273867802E-59 1.2238099465224486E-51 1.4859043856049270E-54 3.5743805400214669E-53
   1   19  1.2582448582822407E-83 3.8727877552553594E-69 5.8801836946051979E-72 1.1163593968662909E-70
   1   20  5.3672839066333709E-59 1.9085321586325654E-51 4.6145736290177352E-54 6.9156541002272377E-53
   1   21  2.4719949976972089E-58 3.4397206659326085E-51 4.3385807171633466E-54 1.0369208502799635E-52
   1   22  1.4785238914754242E-83 3.9733611234951864E-69 6.4079865030654766E-72 1.2053412892592250E-70
   1   23  3.0978468352750507E-61 1.4684740717062034E-53 2.4995705249494291E-56 4.0085696596759346E-55
   1   24  1.3126553774793077E-60 2.3555589042332664E-53 2.5012588390485977E-56 6.1804674931417135E-55
   1   25  1.2234862764116132E-84 4.6572028607910028E-70 6.4807056812240098E-73 1.2564459587559700E-71
   1   26  2.2512243144728268E-59 8.9150219606934493E-52 1.9524973167983459E-54 2.9469480038018670E-53
   1   27  1.0213425731964096E-58 1.4846163294377294E-51 1.7960614283186664E-54 4.2821027663633655E-53
   1   28  2.3322122086278537E-84 5.1601523259229737E-70 9.1315401290965871E-73 1.7055824077756773E-71
   2    1  0.0000000000000000E+00 1.2561487034156167E-04 3.5795236749185284E-05 4.3287796292576156E-05
   2    2  4.7818347385995766E-11 7.6831851290074650E-06 2.2568354980037798E-06 2.2337297730378592E-06
   2    3  0.0000000000000000E+00 4.1614532571447401E-17 1.4390967914913848E-18 3.2970441407792616E-18
   2    4  1.0625653270081688E-39 3.6344753072004049E-22 3.8185835035464523E-23 6.4114237214818334E-23
   2    5  0.0000000000000000E+00 2.3594962148683156E-14 2.0833219280957444E-15 2.8176647687054568E-15
   2    6  0.0000000000000000E+00 2.6356735026461369E-19 1.2048093126955273E-20 2.4832195886719232E-20
   2    7  5.0090503526037354E-38 3.4961410527695819E-19 2.4290901956810362E-20 6.6607538937160647E-20
   2    8  0.0000000000000000E+00 7.1693843110633556E-14 6.3098330080720670E-15 8.5091252254687699E-15
   2    9  0.0000000000000000E+00 1.3780181242346132E-18 6.6680790088699236E-20 1.3403836279501617E-19
   2   10  1.7538632602335207E-37 1.0513880479077559E-18 7.2436467540364359E-20 1.9897522514097148E-19
   2   11  0.0000000000000000E+00 3.7143433884422461E-16 3.2625902328914174E-17 4.4653012557456372E-17
   2   12  0.0000000000000000E+00 1.2071420434843759E-21 4.4324810071976729E-23 9.8375367291849700E-23
   2   13  5.9093256747514789E-40 6.3213358597830564E-21 4.5942372919354010E-22 1.2047948473070844E-21
   2   14  0.0000000000000000E+00 3.0648491793091062E-14 2.6879300501532953E-15 3.6200779372316652E-15
   2   15  0.0000000000000000E+00 8.1534540743825047E-19 4.0548153036044823E-20 8.0634758220584605E-20
   2   16  8.3744764714356948E-38 4.5106885685140297E-19 3.1002691647550056E-20 8.4897991877202588E-20
   2   17  0.0000000000000000E+00 1.0876281731388079E-51 8.6409046142396543E-55 2.6147607437008728E-53
   2   18  0.0000000000000000E+00 1.1798646149411800E-69 4.6831162684790763E-72 5.8086637589174112E-71
   2   19  3.0584376352332758E-134 1.0445055648958002E-71 2.8047498383819392E-73 1.1770515357074227E-72
   2   20  0.0000000000000000E+00 3.4794979995532156E-51 2.7345616615678432E-54 8.3650606824674617E-53
   2   21  0.0000000000000000E+00 6.7433596657926706E-69 2.5685816943155086E-71 3.1921450392367630E-70
   2   22  1.1561070390046863E-133 3.3581632867011879E-71 8.3832895955771269E-73 3.5453284915821247E-72
   2   23  0.0000000000000000E+00 1.4702781862086729E-53 1.2056201993624153E-56 3.5356284659566450E-55
   2   24  0.0000000000000000E+00 4.2459856920042080E-72 1.7447546189906739E-74 2.1740659864577999E-73
   2   25  2.8197593563549944E-136 1.8930201419874007E-73 4.9145250132272361E-75 2.0524445399067911E-74
   2   26  0.0000000000000000E+00 1.5387596264702024E-51 1.2007317925703846E-54 3.6994487182565989E-53
   2   27  0.0000000000000000E+00 4.1611080518836181E-69 1.5549279581098841E-71 1.9356424972624879E-70
   2   28  5.7190147850580574E-134 1.4967334166165243E-71 3.5675882395935460E-73 1.5197322651526969E-72
