1.8387389999302742E-01 a         1     0     1     1     1
-1.5625158057699398E-01 a         2     0     1     1     2
3.4201813926855937E-02 a         3     0     1     1     3
-4.3260799115228489E-02 a         4     0     1     1     4
1.4662430491404496E-01 a         5     0     1     1     5
7.4536879231420688E-02 a         6     0     1     1     6
-1.5061461672255580E-01 a         7     0     1     1     7
-5.2579055373830612E-02 a         8     0     1     1     8
-1.7167831404394560E-01 a         9     0     1     1     9
-1.6718429240447058E-01 a        10     0     1     1    10
-1.2754986282126746E-01 a        11     0     1     1    11
1.2778167342690314E-01 a        12     0     1     1    12
1.2943791333781229E-01 a        13     0     1     1    13
-2.0423118886069025E-01 a        14     0     1     1    14
-5.8511816748574232E-02 a        15     0     1     1    15
-4.8485672497120158E-02 a        16     0     1     1    16
-1.7149594733189369E-01 a        17     0     1     1    17
1.6126096340327165E-01 a        18     0     1     1    18
-1.5246684149207820E-01 a        19     0     1     1    19
1.7845598202175234E-01 a        20     0     1     1    20
6.0627624651473290E-02 a        21     0     1     1    21
-9.3272549251902884E-02 a        22     0     1     1    22
-1.9860888354987077E-01 a        23     0     1     1    23
-7.9107677433492798E-02 a        24     0     1     1    24
-1.1651260352242444E-01 a        25     0     2     1     1
1.3624482194045943E-02 a        26     0     2     1     2
1.9031321238488698E-02 a        27     0     2     1     3
-1.6266543784184331E-01 a        28     0     2     1     4
1.0561718749008440E-01 a        29     0     2     1     5
4.6349654021150155E-02 a        30     0     2     1     6
7.0289916105256270E-02 a        31     0     2     1     7
-7.2380338149387338E-02 a        32     0     2     1     8
9.0310099699038044E-03 a        33     0     2     1     9
-1.2287958269571814E-01 a        34     0     2     1    10
2.0366447527593916E-02 a        35     0     2     1    11
-2.0852426953179679E-01 a        36     0     2     1    12
-1.3191512793811228E-01 a        37     0     2     1    13
-2.0290363832874853E-01 a        38     0     2     1    14
2.3112299513055812E-02 a        39     0     2     1    15
6.7528223839297069E-03 a        40     0     2     1    16
-4.8857105158981173E-02 a        41     0     2     1    17
1.9491598667308785E-01 a        42     0     2     1    18
-1.2055406157811575E-01 a        43     0     2     1    19
4.0161787523084462E-02 a        44     0     2     1    20
6.9918107448665626E-02 a        45     0     2     1    21
1.7618338524132077E-01 a        46     0     2     1    22
-6.2849355163848222E-03 a        47     0     2     1    23
6.1324993594605214E-02 a        48     0     2     1    24
-7.8662668560390295E-02 a        49     0     3     1     1
-1.6712393385695820E-01 a        50     0     3     1     2
3.2545135289442050E-02 a        51     0     3     1     3
-2.4830430091971938E-02 a        52     0     3     1     4
1.7003155553224095E-01 a        53     0     3     1     5
4.2228463647769068E-02 a        54     0     3     1     6
-8.7282222605140389E-02 a        55     0     3     1     7
1.5404150194764815E-01 a        56     0     3     1     8
1.6299479867038086E-01 a        57     0     3     1     9
-2.7916501285892306E-02 a        58     0     3     1    10
-3.0938677425216700E-02 a        59     0     3     1    11
1.3656201834734913E-01 a        60     0     3     1    12
-1.8067524145121544E-01 a        61     0     3     1    13
1.0914725834446393E-01 a        62     0     3     1    14
5.4453978723546417E-02 a        63     0     3     1    15
-6.1418703617613389E-02 a        64     0     3     1    16
-1.0080999060511263E-01 a        65     0     3     1    17
7.9347247600847590E-02 a        66     0     3     1    18
-1.2919675807661937E-01 a        67     0     3     1    19
5.3551769732752962E-02 a        68     0     3     1    20
-9.2412751475415972E-03 a        69     0     3     1    21
1.1896548378852706E-01 a        70     0     3     1    22
2.0015849286439548E-02 a        71     0     3     1    23
-1.5765595855203285E-01 a        72     0     3     1    24
1.7768113040499739E-01 a        73     0     4     1     1
-1.5256274792253313E-01 a        74     0     4     1     2
-1.6844836951190853E-01 a        75     0     4     1     3
-1.3688575297480127E-02 a        76     0     4     1     4
-1.1118715979238739E-01 a        77     0     4     1     5
-8.0763539080188004E-02 a        78     0     4     1     6
9.0128855474014058E-02 a        79     0     4     1     7
-1.7296753217330561E-02 a        80     0     4     1     8
-1.8383181268319965E-02 a        81     0     4     1     9
-9.3910524933116038E-02 a        82     0     4     1    10
-1.3074735762614839E-01 a        83     0     4     1    11
-1.0534493350350170E-01 a        84     0     4     1    12
-2.2869762349941211E-01 a        85     0     4     1    13
-4.5813075685920086E-02 a        86     0     4     1    14
3.5771046446805947E-02 a        87     0     4     1    15
1.5010315003836991E-01 a        88     0     4     1    16
1.8082159366753001E-01 a        89     0     4     1    17
-1.5763174699703728E-01 a        90     0     4     1    18
6.1122551018023989E-02 a        91     0     4     1    19
-1.6668225187348196E-01 a        92     0     4     1    20
1.3327050738940877E-01 a        93     0     4     1    21
-1.0890504318684704E-01 a        94     0     4     1    22
2.1183052128051588E-02 a        95     0     4     1    23
-1.2016353369733197E-01 a        96     0     4     1    24
2.2330395577683168E-01 a        97     0     5     1     1
2.0897481911910595E-01 a        98     0     5     1     2
6.1058458229515875E-02 a        99     0     5     1     3
5.5255015486672589E-02 a       100     0     5     1     4
-4.4721601587908853E-02 a       101     0     5     1     5
-9.4258465262806360E-02 a       102     0     5     1     6
-1.0125515554687842E-03 a       103     0     5     1     7
-9.1332771711399197E-02 a       104     0     5     1     8
1.5676738052614020E-01 a       105     0     5     1     9
-6.6782148025111759E-02 a       106     0     5     1    10
9.7349778305412943E-02 a       107     0     5     1    11
-1.3029867607090795E-01 a       108     0     5     1    12
4.0624834580289364E-02 a       109     0     5     1    13
-9.9490974483433612E-03 a       110     0     5     1    14
-1.4629839845159706E-01 a       111     0     5     1    15
-8.2559918906035257E-02 a       112     0     5     1    16
-1.7913577187674995E-01 a       113     0     5     1    17
9.4472473882766056E-02 a       114     0     5     1    18
-1.7693331299204901E-01 a       115     0     5     1    19
-1.3347794664540411E-01 a       116     0     5     1    20
-3.2975663360097586E-02 a       117     0     5     1    21
-1.8036588862658370E-01 a       118     0     5     1    22
7.0807620030136992E-02 a       119     0     5     1    23
-1.7445237391693261E-01 a       120     0     5     1    24
-1.7301668386963975E-03 a       121     0     6     1     1
7.1000400986083276E-02 a       122     0     6     1     2
-1.8473416638259904E-01 a       123     0     6     1     3
2.0938879515037270E-02 a       124     0     6     1     4
1.0989586272711568E-01 a       125     0     6     1     5
-1.4073097480734717E-01 a       126     0     6     1     6
4.2093854340135850E-02 a       127     0     6     1     7
-1.7577325856883690E-03 a       128     0     6     1     8
-6.7377399833733920E-02 a       129     0     6     1     9
8.9500601842451968E-02 a       130     0     6     1    10
9.1814860244029961E-02 a       131     0     6     1    11
-1.5013213243185511E-01 a       132     0     6     1    12
1.7315482861800763E-01 a       133     0     6     1    13
-2.0471565413010195E-01 a       134     0     6     1    14
-1.7686025393305705E-02 a       135     0     6     1    15
-3.8701417484709323E-02 a       136     0     6     1    16
-1.3998389492566476E-01 a       137     0     6     1    17
-2.6140208276468405E-02 a       138     0     6     1    18
-1.1172531845941609E-01 a       139     0     6     1    19
1.6785450233406587E-01 a       140     0     6     1    20
-1.1951058422897896E-01 a       141     0     6     1    21
-1.7061373997147405E-01 a       142     0     6     1    22
1.4219953665326499E-01 a       143     0     6     1    23
-1.6526740667229761E-01 a       144     0     6     1    24
1.1590569719028536E-01 a       145     0     7     1     1
-9.6382791429927561E-02 a       146     0     7     1     2
1.3441088573098722E-01 a       147     0     7     1     3
-6.9931395139320132E-02 a       148     0     7     1     4
-8.5137413936180795E-02 a       149     0     7     1     5
-2.9776427881690409E-02 a       150     0     7     1     6
-5.3597434941694701E-02 a       151     0     7     1     7
-1.4202434408313877E-01 a       152     0     7     1     8
1.9783330614951972E-01 a       153     0     7     1     9
-1.1090703360359458E-02 a       154     0     7     1    10
-3.4476329085393657E-02 a       155     0     7     1    11
-1.2689408934298877E-02 a       156     0     7     1    12
-1.0774429933571170E-01 a       157     0     7     1    13
1.6529914966418299E-01 a       158     0     7     1    14
-1.8466393763663341E-01 a       159     0     7     1    15
1.9569501659816893E-01 a       160     0     7     1    16
-1.1438313929549541E-01 a       161     0     7     1    17
-7.7136594698941335E-03 a       162     0     7     1    18
1.3280672010743995E-02 a       163     0     7     1    19
4.2340150860409112E-03 a       164     0     7     1    20
-9.0075458800540353E-02 a       165     0     7     1    21
1.3048858408125993E-01 a       166     0     7     1    22
1.5453140877240162E-01 a       167     0     7     1    23
-1.4522213000842663E-01 a       168     0     7     1    24
3.3410365344118759E-02 a       169     0     8     1     1
1.3240692300175293E-02 a       170     0     8     1     2
5.9275004264305160E-02 a       171     0     8     1     3
-1.9083712018904306E-01 a       172     0     8     1     4
5.1948042949567536E-02 a       173     0     8     1     5
-8.8752928939509576E-02 a       174     0     8     1     6
1.1824341548561422E-01 a       175     0     8     1     7
-1.3858262260898779E-03 a       176     0     8     1     8
1.9024117324773110E-01 a       177     0     8     1     9
1.2972286515373860E-01 a       178     0     8     1    10
-6.9866207039556441E-02 a       179     0     8     1    11
4.2920644022622363E-02 a       180     0     8     1    12
9.4968833006773293E-02 a       181     0     8     1    13
3.3665783161563011E-02 a       182     0     8     1    14
1.3559262647785905E-01 a       183     0     8     1    15
2.9942206899533853E-02 a       184     0     8     1    16
9.1871388768711024E-02 a       185     0     8     1    17
1.3342762715158904E-01 a       186     0     8     1    18
1.5127115977674363E-02 a       187     0     8     1    19
-1.7788873083812620E-01 a       188     0     8     1    20
-5.9503570207835955E-02 a       189     0     8     1    21
9.7565824283028416E-02 a       190     0     8     1    22
1.1931825381401300E-01 a       191     0     8     1    23
-1.1983294603008349E-01 a       192     0     8     1    24
1.8862278399169921E-01 a       193     0     9     1     1
-3.3589322932070520E-04 a       194     0     9     1     2
-8.5233944788506391E-02 a       195     0     9     1     3
8.2882959681901833E-02 a       196     0     9     1     4
-2.0696123994103338E-02 a       197     0     9     1     5
-2.8862663516798594E-02 a       198     0     9     1     6
7.2429360540916921E-02 a       199     0     9     1     7
-5.2632299361394866E-02 a       200     0     9     1     8
-3.1859088647140529E-02 a       201     0     9     1     9
1.9399681288024995E-01 a       202     0     9     1    10
9.6203659142746339E-02 a       203     0     9     1    11
7.2321528311163324E-03 a       204     0     9     1    12
-1.1571077724381935E-01 a       205     0     9     1    13
7.7559467799065931E-02 a       206     0     9     1    14
-3.5852230925439134E-02 a       207     0     9     1    15
1.4185130148551567E-01 a       208     0     9     1    16
-1.3111961713237899E-01 a       209     0     9     1    17
1.5777746320518876E-01 a       210     0     9     1    18
8.8981023468321208E-02 a       211     0     9     1    19
1.1105712769711193E-01 a       212     0     9     1    20
3.4805393921093240E-02 a       213     0     9     1    21
3.4038057409392034E-03 a       214     0     9     1    22
-1.9063060235807414E-01 a       215     0     9     1    23
-2.9635282458881102E-02 a       216     0     9     1    24
1.5056950131534272E-01 a       217     0    10     1     1
-5.6492596449019189E-02 a       218     0    10     1     2
-2.4035484634365379E-02 a       219     0    10     1     3
-1.4638297394955192E-02 a       220     0    10     1     4
5.1850861440193630E-02 a       221     0    10     1     5
-8.1256895861546552E-02 a       222     0    10     1     6
-1.4442048788783235E-01 a       223     0    10     1     7
1.6427074550379384E-01 a       224     0    10     1     8
1.1312906239896943E-01 a       225     0    10     1     9
-1.4038869130285414E-01 a       226     0    10     1    10
1.1122186935467648E-01 a       227     0    10     1    11
2.9681932582623249E-02 a       228     0    10     1    12
-1.1721529285127064E-01 a       229     0    10     1    13
1.0611040974507227E-01 a       230     0    10     1    14
-1.1690765111905219E-01 a       231     0    10     1    15
1.3006846682718309E-01 a       232     0    10     1    16
-2.8853696309293346E-02 a       233     0    10     1    17
-5.3752450887258598E-03 a       234     0    10     1    18
-1.2068749282920818E-01 a       235     0    10     1    19
-5.0829968631399089E-02 a       236     0    10     1    20
1.9213296529095039E-01 a       237     0    10     1    21
1.9308517047950058E-02 a       238     0    10     1    22
2.1588977734309839E-01 a       239     0    10     1    23
1.1878977137923699E-01 a       240     0    10     1    24
5.3405388918839031E-02 a       241     0    11     1     1
1.0176140784495111E-01 a       242     0    11     1     2
-1.3237434816953525E-01 a       243     0    11     1     3
5.8817102205516170E-02 a       244     0    11     1     4
-9.0099675923966463E-02 a       245     0    11     1     5
3.4225832846476074E-02 a       246     0    11     1     6
-1.2087407595701928E-01 a       247     0    11     1     7
2.0669541588746720E-01 a       248     0    11     1     8
-8.9873315402036663E-02 a       249     0    11     1     9
-4.2489976571754802E-02 a       250     0    11     1    10
-2.4693502971403929E-02 a       251     0    11     1    11
-1.0095962420499066E-01 a       252     0    11     1    12
5.3829792346586337E-02 a       253     0    11     1    13
-1.1429326521539671E-01 a       254     0    11     1    14
-7.5012316032731272E-02 a       255     0    11     1    15
-1.4013567385319248E-01 a       256     0    11     1    16
-4.6915495287105341E-02 a       257     0    11     1    17
1.4003952552541343E-01 a       258     0    11     1    18
1.1591657360733595E-01 a       259     0    11     1    19
-1.0033087390158357E-01 a       260     0    11     1    20
7.3749395926045430E-02 a       261     0    11     1    21
-1.5690671672662518E-01 a       262     0    11     1    22
-2.0058093866686050E-01 a       263     0    11     1    23
1.4811662985888560E-01 a       264     0    11     1    24
9.7169054093343935E-02 a       265     0    12     1     1
5.6736995179175343E-03 a       266     0    12     1     2
-1.9438215832654437E-02 a       267     0    12     1     3
1.0730455492063479E-01 a       268     0    12     1     4
1.9377071232458581E-01 a       269     0    12     1     5
1.3197858233249105E-01 a       270     0    12     1     6
-2.4179235042246605E-01 a       271     0    12     1     7
1.5811151622172101E-01 a       272     0    12     1     8
-6.5373549395452160E-02 a       273     0    12     1     9
8.3048475915108111E-02 a       274     0    12     1    10
6.3370357714142872E-02 a       275     0    12     1    11
-1.6585232763288138E-01 a       276     0    12     1    12
-9.4713546909589205E-02 a       277     0    12     1    13
1.8972681835860872E-01 a       278     0    12     1    14
1.3459014185773732E-01 a       279     0    12     1    15
-1.1169094317789521E-01 a       280     0    12     1    16
-8.9839914150025735E-02 a       281     0    12     1    17
8.3816149978162974E-02 a       282     0    12     1    18
-1.8573186272252434E-02 a       283     0    12     1    19
1.3314515827392637E-01 a       284     0    12     1    20
1.8965511010044367E-01 a       285     0    12     1    21
3.3531587271410221E-03 a       286     0    12     1    22
-8.5967406171651675E-02 a       287     0    12     1    23
-1.3866461565103397E-01 a       288     0    12     1    24
-3.8787940210713606E-02 a       289     0    13     1     1
2.0140627155305021E-01 a       290     0    13     1     2
-2.0306278341160600E-01 a       291     0    13     1     3
1.2252726728090806E-01 a       292     0    13     1     4
1.2863576585654923E-01 a       293     0    13     1     5
6.4444292413031526E-02 a       294     0    13     1     6
4.3584143468349809E-02 a       295     0    13     1     7
7.2031822112328947E-02 a       296     0    13     1     8
